Execution time: 3732.743196249008 seconds

Number of crossovers applied: 11985
Number of mutations applied: 978

Best individuals and their accuracies for each test:
Test 99 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 100 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 101 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 102 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 103 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 104 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 105 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 106 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 107 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 108 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 109 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 110 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 111 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 112 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 113 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 114 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 115 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 116 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 117 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 118 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 119 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 120 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 121 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 122 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 123 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 124 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 125 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 126 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 127 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 128 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 129 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 130 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 131 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 132 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 133 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 134 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 135 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 136 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 137 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 138 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 139 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 140 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 141 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 142 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 143 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 144 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 145 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 146 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 147 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 148 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 149 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 150 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 151 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 152 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 153 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 154 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 155 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 156 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 157 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 158 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 159 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 160 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 161 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 162 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 163 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 164 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 165 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 166 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 167 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 168 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 169 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 170 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 171 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 172 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 173 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 174 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 175 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 176 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 177 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 178 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 179 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 180 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 181 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 182 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 183 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 184 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 185 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 186 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 187 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 188 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 189 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 190 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 191 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 192 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 193 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 194 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 195 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 196 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 197 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 198 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 199 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 200 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 201 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 202 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 203 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 204 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 205 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 206 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 207 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 208 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 209 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 210 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 211 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 212 => Best Individual: 11001011, Fitness: 0.7987012987012987
