Execution time: 220.20728015899658 seconds

Number of crossovers applied: 632
Number of mutations applied: 41

Best individuals and their accuracies for each test:
Test 99 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 100 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 101 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 102 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 103 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 104 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 105 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 106 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 107 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 108 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 109 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 110 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 111 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 112 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 113 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 114 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 115 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 116 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 117 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 118 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 119 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 120 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 121 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 122 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 123 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 124 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 125 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 126 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 127 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 128 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 129 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 130 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 131 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 132 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 133 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 134 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 135 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 136 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 137 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 138 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 139 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 140 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 141 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 142 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 143 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 144 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 145 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 146 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 147 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 148 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 149 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 150 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 151 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 152 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 153 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 154 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 155 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 156 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 157 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 158 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 159 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 160 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 161 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 162 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 163 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 164 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 165 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 166 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 167 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 168 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 169 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 170 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 171 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 172 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 173 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 174 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 175 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 176 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 177 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 178 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 179 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 180 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 181 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 182 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 183 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 184 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 185 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 186 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 187 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 188 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 189 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 190 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 191 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 192 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 193 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 194 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 195 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 196 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 197 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 198 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 199 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 200 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 201 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 202 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 203 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 204 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 205 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 206 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 207 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 208 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 209 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 210 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 211 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 212 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 213 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 214 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 215 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 216 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 217 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 218 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 219 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 220 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 221 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 222 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 223 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 224 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 225 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 226 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 227 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 228 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 229 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 230 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 231 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 232 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 233 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 234 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 235 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 236 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 237 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 238 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 239 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 240 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 241 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 242 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 243 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 244 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 245 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 246 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 247 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 248 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 249 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 250 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 251 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 252 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 253 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 254 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 255 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 256 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 257 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 258 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 259 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 260 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 261 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 262 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 263 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 264 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 265 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 266 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 267 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 268 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 269 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 270 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 271 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 272 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 273 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 274 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 275 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 276 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 277 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 278 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 279 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 280 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 281 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 282 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 283 => Best Individual: 01100111, Fitness: 0.8051948051948052
